TIME,SUSCEPTIBLE,INFECTED,REMOVED
0.0,990,10,0
0.1307306798195753,989,11,0
0.13236963585657235,989,10,1
0.25542173981604765,988,11,1
0.3346978031859975,988,10,2
0.41179891048809625,987,11,2
0.41864065164745384,986,12,2
0.5188463215463601,985,13,2
0.5328256933357548,984,14,2
0.6591915396991143,983,15,2
0.665481804452079,983,14,3
0.7335263929139061,982,15,3
0.7339017077301964,982,14,4
0.7411275261005089,982,13,5
0.7663731695913149,981,14,5
0.7720785124822552,980,15,5
0.9103251334717906,979,16,5
1.2113041298269855,979,15,6
1.3149600507402983,978,16,6
1.3543432392300463,977,17,6
1.4117614798957547,977,16,7
1.4291090907525879,976,17,7
1.674799707574008,975,18,7
1.7439362008566297,975,17,8
1.7638429224648815,974,18,8
1.8082193826797799,974,17,9
1.8123472020650475,973,18,9
1.901389347882323,972,19,9
1.9423816234395104,971,20,9
2.1789339630250613,970,21,9
2.222443398100363,970,20,10
2.3586236187913303,969,21,10
2.4239384032737847,969,20,11
2.479762570872193,969,19,12
2.488609946272634,968,20,12
2.7085065086668636,967,21,12
2.719466434012257,967,20,13
2.861569632669494,966,21,13
3.0264628545496675,965,22,13
3.0366196624734574,965,21,14
3.153929695169625,964,22,14
3.2288067566310494,963,23,14
3.300164414805874,962,24,14
3.316681076022274,961,25,14
3.4125787492612796,960,26,14
3.4409125604698305,959,27,14
3.4482733922734368,958,28,14
3.456797961852425,957,29,14
3.4713235957160706,956,30,14
3.574708774582788,956,29,15
3.704383688506891,956,28,16
3.761108664868262,955,29,16
3.772366702409093,955,28,17
3.778719302072277,955,27,18
3.8180415057546586,954,28,18
3.8239981692951774,953,29,18
3.8678370132250177,952,30,18
3.8905990490883964,952,29,19
3.9067414623045464,951,30,19
3.954986869285012,950,31,19
4.157833616546364,950,30,20
4.238698544309408,949,31,20
4.252107655212243,948,32,20
4.339861004100012,947,33,20
4.3567920452853315,946,34,20
4.370147586276483,946,33,21
4.391469394561478,945,34,21
4.4211778240538875,945,33,22
4.495242704443157,945,32,23
4.513957084476855,945,31,24
4.570815956653255,944,32,24
4.571010806539475,943,33,24
4.591141957248573,943,32,25
4.596575089927601,942,33,25
4.6333631232352905,941,34,25
4.780703057653106,940,35,25
4.851907961217917,939,36,25
5.04642356597757,938,37,25
5.070070390018042,937,38,25
5.098830644366868,936,39,25
5.163288703022929,936,38,26
5.2489139548154675,935,39,26
5.249088527131202,935,38,27
5.262736761799309,934,39,27
5.268025880715019,934,38,28
5.270288447621549,933,39,28
5.291551511852181,932,40,28
5.328536854403192,932,39,29
5.38099468182064,932,38,30
5.413631428720742,931,39,30
5.464684590901885,930,40,30
5.468631114896595,929,41,30
5.588631348150656,929,40,31
5.633385873680332,928,41,31
5.639548399297381,928,40,32
5.671444923929395,927,41,32
5.764446339964373,926,42,32
5.799493324461158,925,43,32
5.831571096066874,924,44,32
5.8763640490652,923,45,32
5.880976008723628,922,46,32
5.938799078860358,922,45,33
6.006652900549668,921,46,33
6.050620596103594,921,45,34
6.071926250659069,920,46,34
6.248515083137196,919,47,34
6.275904273783889,918,48,34
6.3716611436012,917,49,34
6.4317350359290915,917,48,35
6.463983377180002,917,47,36
6.471685311422556,916,48,36
6.480559846037775,915,49,36
6.544637048081825,914,50,36
6.551434722113972,913,51,36
6.587195147932244,913,50,37
6.632258873160028,912,51,37
6.659862603663706,911,52,37
6.670274788161203,910,53,37
6.709582183384089,910,52,38
6.710818197019583,910,51,39
6.712412937298731,910,50,40
6.739017098428131,909,51,40
6.741698710294965,908,52,40
6.762294743543343,907,53,40
6.778348545790418,906,54,40
6.799677116473698,905,55,40
6.811327758470358,904,56,40
6.833195656162768,903,57,40
6.848554905199956,903,56,41
6.85803193453153,903,55,42
6.90056287172834,903,54,43
6.911500356589365,902,55,43
6.920638508816094,901,56,43
7.061470599942087,900,57,43
7.073502459896224,899,58,43
7.084410313919182,899,57,44
7.1171520014690675,898,58,44
7.131725998184028,898,57,45
7.140632040792313,897,58,45
7.1516822880269695,896,59,45
7.21834821791091,896,58,46
7.250019844301359,895,59,46
7.2529630334359085,894,60,46
7.342541059636885,894,59,47
7.361432041217238,893,60,47
7.392998994880641,893,59,48
7.4725195170036125,892,60,48
7.479277577423906,892,59,49
7.504314217326878,891,60,49
7.524416013018889,890,61,49
7.578613604650492,889,62,49
7.589600013664907,888,63,49
7.62917275747457,887,64,49
7.6436695035185,886,65,49
7.649833801902385,886,64,50
7.6737145816887935,886,63,51
7.710895304416876,886,62,52
7.717041539383294,885,63,52
7.760033110164388,885,62,53
7.766852028503804,884,63,53
7.777142213354935,884,62,54
7.798063056064913,884,61,55
7.798503608911913,883,62,55
7.809982845368101,883,61,56
7.813760871598414,883,60,57
7.8829367862160264,882,61,57
7.886147545541173,882,60,58
7.898493698468384,882,59,59
7.903810089483679,881,60,59
7.913719325109233,881,59,60
7.931536277172547,881,58,61
7.956060078740017,880,59,61
7.960997259278655,879,60,61
7.963405000336253,879,59,62
7.993590550744806,878,60,62
8.035521143304225,878,59,63
8.076653211520785,877,60,63
8.11481160415231,877,59,64
8.125231281227796,876,60,64
8.128019959854866,875,61,64
8.15724271608508,875,60,65
8.215356167183078,875,59,66
8.240580180487049,874,60,66
8.255061089408963,873,61,66
8.327295305217227,873,60,67
8.353793102121577,872,61,67
8.394183635998356,871,62,67
8.412034987069733,870,63,67
8.496466954091638,869,64,67
8.528341886620861,868,65,67
8.620071105129924,867,66,67
8.624376752750488,866,67,67
8.628112028076233,866,66,68
8.633509820409909,866,65,69
8.674559194785475,865,66,69
8.792485290194385,865,65,70
8.79757130185207,865,64,71
8.798099801477221,865,63,72
8.803707942468803,865,62,73
8.87954952864639,864,63,73
8.905750891356647,864,62,74
8.93234284645116,863,63,74
8.992918231754475,863,62,75
8.998190358489222,862,63,75
9.003782723002146,862,62,76
9.014697401291711,862,61,77
9.056532803972154,861,62,77
9.071262550806908,860,63,77
