TIME,SUSCEPTIBLE,INFECTED,REMOVED
0.0,39990,10,0
0.14251791462942837,39990,9,1
0.2517544021243374,39989,10,1
0.4297433323208366,39988,11,1
0.5986204343238172,39987,12,1
0.6778549552686011,39986,13,1
0.7028829372202169,39986,12,2
0.8610633866035743,39986,11,3
0.9464253896417438,39985,12,3
1.0564492565024846,39984,13,3
1.412440079285799,39983,14,3
1.4521613563762135,39982,15,3
1.8340648319780786,39981,16,3
1.9450153544634392,39980,17,3
1.9679775308324738,39979,18,3
2.0643344804891495,39978,19,3
2.073466399627457,39977,20,3
2.2036824528834797,39976,21,3
2.350011473545593,39976,20,4
2.4355383850612458,39975,21,4
2.4491623163953333,39974,22,4
2.5128840879316554,39973,23,4
2.5640529639914695,39972,24,4
2.5826831141107767,39971,25,4
2.613491993389918,39970,26,4
2.691470676385675,39969,27,4
2.6979449794173824,39969,26,5
2.709065891234358,39968,27,5
2.7450681031927853,39967,28,5
2.7553517474262814,39967,27,6
2.791255994597896,39967,26,7
2.808167809781347,39966,27,7
2.9264146996477747,39966,26,8
2.9287600554769653,39965,27,8
2.935548904033762,39964,28,8
3.049606833196406,39963,29,8
3.051337614346798,39963,28,9
3.0540112683581127,39962,29,9
3.0964017372243653,39961,30,9
3.103042545907113,39960,31,9
3.172557581781075,39959,32,9
3.1914353157543527,39958,33,9
3.2327307703464006,39958,32,10
3.245488557603695,39957,33,10
3.265787578246315,39956,34,10
3.2705946060542206,39956,33,11
3.296228223725498,39955,34,11
3.3224703786876795,39954,35,11
3.3319526472480594,39954,34,12
3.3611988392466228,39954,33,13
3.384986650170999,39954,32,14
3.545759318245124,39953,33,14
3.5541423147025895,39952,34,14
3.5741805539240388,39951,35,14
3.6097797095805344,39950,36,14
3.649881311880817,39950,35,15
3.675276944263324,39949,36,15
3.7675476443280727,39948,37,15
3.8817761763836987,39948,36,16
3.9660203913732337,39947,37,16
3.9770741859882115,39946,38,16
4.062191615011884,39945,39,16
4.0845235469268015,39944,40,16
4.1064244526011855,39943,41,16
4.158957156536332,39942,42,16
4.211201745595128,39941,43,16
4.211587537448344,39940,44,16
4.218671360436929,39939,45,16
4.3345413181030725,39939,44,17
4.426030048495937,39939,43,18
4.427077698646804,39938,44,18
4.429861697309826,39937,45,18
4.4691628732369635,39936,46,18
4.483967776748746,39935,47,18
4.576876222716741,39934,48,18
4.628234668793118,39934,47,19
4.773696246845972,39933,48,19
4.818854253472862,39933,47,20
4.83423727876582,39932,48,20
4.867724355080768,39931,49,20
4.868480863814857,39930,50,20
4.8853295899549,39929,51,20
4.887609322046721,39928,52,20
4.889871306899409,39927,53,20
4.894231164183697,39926,54,20
4.937749815370863,39925,55,20
4.942352539433757,39925,54,21
4.952869170990746,39925,53,22
4.961522179777314,39925,52,23
4.993448581303158,39924,53,23
5.022925412827525,39924,52,24
5.046436229594423,39923,53,24
5.068496247082763,39923,52,25
5.0801003221110355,39922,53,25
5.094101060081782,39921,54,25
5.09844730304783,39920,55,25
5.103156790091717,39919,56,25
5.125249278758935,39919,55,26
5.150952004849477,39919,54,27
5.175368333406466,39918,55,27
5.258369466031964,39917,56,27
5.2596262851441224,39916,57,27
5.326300202311089,39915,58,27
5.368603396613368,39914,59,27
5.413469406653195,39914,58,28
5.418003256944808,39914,57,29
5.422037187210146,39913,58,29
5.486785978498775,39912,59,29
5.5194054783380855,39912,58,30
5.532383693993194,39911,59,30
5.583758839425997,39910,60,30
5.586865319179686,39910,59,31
5.6125258384395735,39910,58,32
5.671202239346071,39909,59,32
5.716455747537482,39908,60,32
5.743142920762406,39907,61,32
5.771337222655244,39906,62,32
5.810406398126142,39905,63,32
5.83872338890302,39904,64,32
5.860152774410787,39903,65,32
5.883236916467997,39902,66,32
5.922493805036031,39901,67,32
5.956415826141065,39901,66,33
5.968389042396995,39900,67,33
6.021515985867716,39900,66,34
6.024092575852389,39900,65,35
6.043044684873313,39899,66,35
6.047537352796664,39898,67,35
6.049696754929715,39897,68,35
6.060772284052603,39896,69,35
6.093852409909806,39895,70,35
6.138479427263893,39894,71,35
6.149175932926364,39894,70,36
6.168326971631272,39894,69,37
6.169182701269606,39893,70,37
6.191070097117877,39893,69,38
6.198144017131796,39893,68,39
6.234755590920999,39892,69,39
6.235683158009508,39891,70,39
6.239489437855621,39891,69,40
6.279633122950339,39890,70,40
6.287808806458527,39889,71,40
6.291770659028851,39888,72,40
6.34110914239129,39888,71,41
6.34888362032113,39888,70,42
6.385541898871015,39887,71,42
6.3898380519750715,39886,72,42
6.406956506367595,39885,73,42
6.4795857315146845,39884,74,42
6.489517918074533,39883,75,42
6.496512947910229,39882,76,42
6.502475099530823,39881,77,42
6.513409700306833,39880,78,42
6.5182443309489155,39879,79,42
6.525297250602274,39879,78,43
6.53148885789698,39878,79,43
6.553508011627596,39877,80,43
6.558007630709175,39876,81,43
6.581264208958333,39875,82,43
6.60412730983336,39875,81,44
6.610497498573871,39875,80,45
6.622217109221909,39874,81,45
6.6282190045524905,39874,80,46
6.635694759223235,39873,81,46
6.642604047291018,39872,82,46
6.669237600474358,39871,83,46
6.679891452751946,39870,84,46
6.7055179236120175,39869,85,46
6.709069852818823,39869,84,47
6.715078372159281,39868,85,47
6.724345871172338,39868,84,48
6.763407472201076,39868,83,49
6.789170981151288,39867,84,49
6.7927566326357045,39866,85,49
6.814556817489832,39865,86,49
6.826465220877302,39864,87,49
6.8274905132551895,39863,88,49
6.827759595653476,39862,89,49
6.852977107985123,39861,90,49
6.868956418967069,39860,91,49
6.873207201255207,39860,90,50
6.878026706363087,39860,89,51
6.898293109554144,39860,88,52
6.908001731890575,39859,89,52
6.973787721966718,39858,90,52
6.975932337797344,39857,91,52
6.980176517607532,39856,92,52
7.001866573168426,39855,93,52
7.0143147610003425,39855,92,53
7.045065112762915,39855,91,54
7.092649510027197,39854,92,54
7.098121415676918,39853,93,54
7.102112230211753,39852,94,54
7.110919448256425,39852,93,55
7.18262732020839,39851,94,55
7.225717089945189,39851,93,56
7.226047374652423,39851,92,57
7.231056714091362,39850,93,57
7.231811326583892,39849,94,57
7.239444590063918,39848,95,57
7.2431680995578285,39847,96,57
7.253222815122295,39846,97,57
7.268767949071029,39845,98,57
7.273296343991925,39845,97,58
7.287181226189332,39844,98,58
7.3019984618750495,39844,97,59
7.349893164976396,39843,98,59
7.371422136023634,39842,99,59
7.4112099927869135,39842,98,60
7.415414751549088,39841,99,60
7.435704640204397,39840,100,60
7.483258577680845,39839,101,60
7.509309221724735,39838,102,60
7.520872966835477,39837,103,60
7.554438886540406,39836,104,60
7.597011905958366,39836,103,61
7.612544368089269,39836,102,62
7.619862585347393,39835,103,62
7.622155200780705,39835,102,63
7.627898098848298,39834,103,63
7.6435293480062505,39833,104,63
7.6459707574601525,39832,105,63
7.654944439075839,39831,106,63
7.688719006523261,39830,107,63
7.691095924411021,39829,108,63
7.705193704775744,39828,109,63
7.705583277062699,39827,110,63
7.714268814689434,39826,111,63
7.71587003701396,39826,110,64
7.719080328866965,39825,111,64
7.736629629211779,39825,110,65
7.78582801018504,39824,111,65
7.790659670829181,39823,112,65
7.805499533577779,39823,111,66
7.810985547906962,39822,112,66
7.820099480501923,39821,113,66
7.832171131320563,39820,114,66
7.837034588331044,39819,115,66
7.841573018076145,39819,114,67
7.846336570286015,39818,115,67
7.852099066339516,39817,116,67
7.886202672801755,39816,117,67
7.91552778443364,39815,118,67
7.9190270229986535,39815,117,68
7.923388566020985,39814,118,68
7.9235076291315965,39814,117,69
7.935182391686645,39813,118,69
7.945725050415331,39812,119,69
7.946166447321135,39811,120,69
7.94930312695323,39810,121,69
7.952848290351695,39809,122,69
7.987424502362855,39808,123,69
7.9980243168244,39807,124,69
8.002328327847072,39807,123,70
8.003279230721107,39806,124,70
8.017449258707428,39805,125,70
8.034789729577058,39804,126,70
8.073542630248415,39804,125,71
8.078287218680515,39804,124,72
8.082184522448243,39803,125,72
8.104755586426684,39803,124,73
8.111089684358815,39803,123,74
8.120788043962811,39803,122,75
8.142949538543029,39803,121,76
8.161219573078064,39803,120,77
8.166067859860354,39803,119,78
8.175670148563052,39803,118,79
8.18794147529021,39802,119,79
8.189127397605226,39801,120,79
8.190394241136289,39801,119,80
8.202340478190713,39801,118,81
8.204982479131383,39800,119,81
8.22173861315392,39799,120,81
8.240070255101505,39799,119,82
8.247538536696448,39799,118,83
8.256506389115396,39799,117,84
8.270888764621885,39799,116,85
8.272129916188172,39798,117,85
8.276561352676435,39797,118,85
8.30642117854596,39797,117,86
8.322188735583635,39796,118,86
8.340585432501973,39795,119,86
8.34916446190699,39794,120,86
8.360113115859468,39793,121,86
8.361735114800467,39793,120,87
8.402611066204564,39793,119,88
8.407533759508983,39793,118,89
8.419358638376881,39793,117,90
8.44604666531001,39793,116,91
8.45390883445692,39792,117,91
8.460191855102877,39791,118,91
8.479486531175972,39790,119,91
8.490430235283883,39790,118,92
8.50788552543007,39789,119,92
8.51559954504599,39788,120,92
8.516223547301733,39787,121,92
8.526464879201338,39786,122,92
8.555809587426099,39785,123,92
8.656797274148575,39784,124,92
8.659512694550886,39784,123,93
8.66506385618147,39784,122,94
8.673990691025159,39783,123,94
8.691055293043936,39783,122,95
8.706623188621618,39782,123,95
8.71012812287575,39782,122,96
8.734467931429332,39781,123,96
8.759170761793506,39780,124,96
8.75918262292976,39779,125,96
8.763334973125682,39778,126,96
8.777565885328714,39778,125,97
8.781187652698051,39777,126,97
8.783306926229722,39776,127,97
8.78444521957417,39775,128,97
8.790435427250992,39774,129,97
8.791064372674638,39774,128,98
8.797403774190336,39773,129,98
8.805116068758139,39772,130,98
8.822880484579876,39772,129,99
8.830954964122386,39771,130,99
8.836847639887461,39770,131,99
8.841192899730219,39769,132,99
8.857042869857738,39769,131,100
8.859337068907351,39768,132,100
8.874097994732214,39768,131,101
8.88195693275114,39768,130,102
8.901814136551362,39767,131,102
8.914737632115367,39766,132,102
8.918540612276898,39765,133,102
8.935382558867376,39765,132,103
8.937951507769412,39764,133,103
8.948430718865568,39764,132,104
8.95454996072234,39764,131,105
8.957792474815589,39763,132,105
8.969375318020763,39762,133,105
8.974243285263265,39762,132,106
8.987143644303613,39762,131,107
8.987187208214857,39761,132,107
9.011496046678829,39761,131,108
9.062505948989124,39760,132,108
9.065255639209683,39759,133,108
9.072685363559586,39758,134,108
9.106338432201738,39758,133,109
9.107393535525558,39758,132,110
9.113643517661284,39758,131,111
9.127774798919713,39757,132,111
9.165711851965037,39756,133,111
9.1879547440485,39755,134,111
9.209774277575372,39755,133,112
9.236688639243614,39755,132,113
9.242971223128334,39755,131,114
9.24966339605987,39754,132,114
9.28001231452688,39753,133,114
9.283838776442998,39753,132,115
9.287749030335117,39752,133,115
9.294163335582201,39751,134,115
9.299732180875734,39750,135,115
9.312421107742685,39749,136,115
9.342441672723893,39748,137,115
9.3462055699756,39747,138,115
9.351803046471199,39746,139,115
9.359553010800852,39746,138,116
9.373610966535729,39745,139,116
9.38068504010992,39745,138,117
9.389754406981423,39744,139,117
9.396302221988368,39743,140,117
9.42804276444905,39742,141,117
9.517490236019366,39742,140,118
9.527865243715269,39741,141,118
9.531972395483505,39740,142,118
9.543403811899008,39739,143,118
9.547344492778103,39738,144,118
9.555284533287184,39737,145,118
9.57725840158487,39736,146,118
9.578175572493494,39735,147,118
9.580691779792154,39734,148,118
9.582272516644116,39733,149,118
9.588367583059796,39733,148,119
9.591942729238164,39733,147,120
9.60767437415276,39732,148,120
9.609059907141216,39732,147,121
9.61055959378009,39731,148,121
9.61738206131226,39730,149,121
9.631898639172713,39730,148,122
9.640472799157896,39729,149,122
9.6541471984972,39728,150,122
9.654210718269246,39727,151,122
9.656569564693793,39727,150,123
9.657746424860697,39726,151,123
9.661998885430245,39726,150,124
9.663962464649352,39725,151,124
9.686647974227144,39725,150,125
9.703742684914296,39724,151,125
9.725004784759301,39723,152,125
9.731235439979756,39722,153,125
9.744032876686584,39721,154,125
9.750810492366389,39720,155,125
9.758661640664386,39719,156,125
9.765520613065334,39718,157,125
9.77082272170285,39717,158,125
9.777774573989506,39717,157,126
9.784635086555454,39716,158,126
9.784698055505476,39715,159,126
9.800594963248669,39714,160,126
9.813135675754832,39713,161,126
9.822807783208232,39713,160,127
9.845609869155373,39713,159,128
9.882054203318303,39713,158,129
9.892054102699184,39713,157,130
9.898787204870368,39713,156,131
9.901345254609652,39712,157,131
9.910629749548987,39712,156,132
9.93571080955773,39711,157,132
9.942043169590404,39711,156,133
9.942454460162624,39711,155,134
9.946835869909,39710,156,134
9.948437323954657,39709,157,134
9.95073848983563,39708,158,134
9.952408317146697,39708,157,135
9.958726492188452,39707,158,135
9.95906171646167,39707,157,136
9.963017315610788,39707,156,137
9.994853307418643,39706,157,137
10.00683160398544,39705,158,137
10.011395158865353,39705,157,138
10.01439887585417,39704,158,138
10.02888218608704,39703,159,138
10.055253715983548,39703,158,139
10.062658790730676,39703,157,140
10.062756972611568,39702,158,140
10.073808093772586,39702,157,141
10.078154098240203,39701,158,141
10.088004102253372,39700,159,141
10.095431243818766,39699,160,141
10.10140826149831,39699,159,142
10.110091458564977,39699,158,143
10.134412995287478,39699,157,144
10.137455970853477,39698,158,144
10.141273230186117,39697,159,144
10.148646302827345,39697,158,145
10.152690601944663,39697,157,146
10.17237672782039,39696,158,146
10.178632054226913,39695,159,146
10.18688549132171,39694,160,146
10.192596884441185,39693,161,146
10.193784533882681,39692,162,146
10.194098325964546,39692,161,147
10.195322698045462,39691,162,147
10.205792909535273,39690,163,147
10.215118096728833,39690,162,148
10.224500102646132,39689,163,148
10.228286444435193,39688,164,148
10.230476555787442,39687,165,148
10.256859353452636,39686,166,148
10.264733353745871,39685,167,148
10.286192505281747,39684,168,148
10.291683576529335,39683,169,148
10.32115383587523,39682,170,148
10.330231031990875,39682,169,149
10.338268447946277,39682,168,150
10.346038827798653,39682,167,151
10.349683468492941,39681,168,151
10.359718837393213,39681,167,152
10.361043059038561,39680,168,152
10.372745642940616,39679,169,152
10.375357626710292,39679,168,153
10.376069370173786,39678,169,153
10.378116429959245,39678,168,154
10.387342904186717,39678,167,155
10.390698625370428,39678,166,156
10.392001549055344,39677,167,156
10.400269170264467,39676,168,156
10.40981793811856,39676,167,157
10.410035660022714,39675,168,157
10.41163959998239,39674,169,157
10.411963987146647,39673,170,157
10.421346748375676,39673,169,158
10.423985771480586,39673,168,159
10.4278207281629,39672,169,159
10.441618618899106,39671,170,159
10.463594757542529,39670,171,159
10.477759509373682,39669,172,159
10.480414020507881,39668,173,159
10.480855012998433,39668,172,160
10.503935530184258,39668,171,161
10.517797618944025,39667,172,161
10.521014542203853,39667,171,162
10.547225723799079,39666,172,162
10.549649430605545,39665,173,162
10.563667072478399,39665,172,163
10.564736587978425,39665,171,164
10.565898456403957,39664,172,164
10.570463402931118,39663,173,164
10.570841383956383,39662,174,164
10.577816821949886,39661,175,164
10.590304203349147,39661,174,165
10.593302914533298,39660,175,165
10.601060079621009,39659,176,165
10.603969779640043,39658,177,165
10.61587408859961,39657,178,165
10.621065545891565,39657,177,166
10.629028835959014,39657,176,167
10.656122739026609,39656,177,167
10.667603356593526,39656,176,168
10.676042148453964,39656,175,169
10.687021709198955,39655,176,169
10.688496304106618,39654,177,169
10.690789271474406,39654,176,170
10.698140691284893,39653,177,170
10.69954344355419,39652,178,170
10.7201439888025,39652,177,171
10.724240600510326,39651,178,171
10.73111981362048,39650,179,171
10.738795223831927,39649,180,171
10.742026686973897,39649,179,172
10.749018016474972,39648,180,172
10.749912750666391,39648,179,173
10.752980895771106,39648,178,174
10.756396138471933,39648,177,175
10.762633243136124,39647,178,175
10.765140186932188,39646,179,175
10.76970923754643,39646,178,176
10.793884019443738,39645,179,176
10.801548760319264,39645,178,177
10.804606101607604,39644,179,177
10.804993015197491,39643,180,177
10.811574780376086,39642,181,177
10.81752477940059,39642,180,178
10.820219610543898,39642,179,179
10.824752812387054,39641,180,179
10.827254061396946,39641,179,180
10.842948989529521,39640,180,180
10.847473753836788,39639,181,180
10.857238664803308,39639,180,181
10.867405462411067,39638,181,181
10.873156059261968,39638,180,182
10.879825996149446,39637,181,182
10.884828230888756,39636,182,182
10.886123116611259,39635,183,182
10.900643125076295,39635,182,183
10.90251107437431,39634,183,183
10.916140163792099,39634,182,184
10.93271696951928,39634,181,185
10.937723745672155,39633,182,185
10.940435501550779,39632,183,185
10.964076808145283,39632,182,186
10.97234839328612,39631,183,186
10.977905248726957,39631,182,187
10.979144787495432,39631,181,188
10.97929321265016,39631,180,189
10.983166675498877,39630,181,189
10.990352977379676,39629,182,189
10.992947707710965,39629,181,190
10.996495985843666,39629,180,191
11.005719837374999,39628,181,191
11.01030902749606,39627,182,191
11.02913152582449,39626,183,191
11.029343702520965,39625,184,191
11.034428485275075,39624,185,191
11.03666740528442,39623,186,191
11.063115518591584,39623,185,192
11.064396673020722,39623,184,193
11.070286184429078,39622,185,193
11.071985565731284,39621,186,193
11.07254288975901,39620,187,193
11.075687683999647,39620,186,194
11.076623602997975,39619,187,194
11.081657761665817,39618,188,194
11.100479549447183,39617,189,194
11.106162943588663,39616,190,194
11.11244510548488,39616,189,195
11.112850547463667,39615,190,195
11.115809384467381,39614,191,195
11.119284488169203,39613,192,195
11.12277920666859,39612,193,195
11.142361545503885,39611,194,195
11.147565084276748,39611,193,196
11.153888492276469,39610,194,196
11.161313825833323,39609,195,196
11.173134039550726,39608,196,196
11.17322720972957,39607,197,196
11.176624055588002,39606,198,196
11.179076891712622,39606,197,197
11.184294216906965,39606,196,198
11.186955577590838,39605,197,198
11.194609493253033,39604,198,198
11.206483779764907,39604,197,199
11.213557480332783,39603,198,199
11.215924823463126,39603,197,200
11.22281942828589,39602,198,200
11.227879147246473,39601,199,200
11.23109486726943,39601,198,201
11.23154750723238,39600,199,201
11.257281486659616,39600,198,202
11.261709437866893,39600,197,203
11.27573965857327,39599,198,203
11.28126138741704,39599,197,204
11.285973534306054,39598,198,204
11.289230687722588,39597,199,204
11.29889269559761,39597,198,205
11.304751651433241,39597,197,206
11.32331258923784,39597,196,207
11.323570979669931,39597,195,208
11.327283380904454,39597,194,209
11.342951086869688,39596,195,209
11.346669554436316,39595,196,209
11.350140531342111,39594,197,209
11.37776593961864,39593,198,209
11.38977157082701,39593,197,210
11.394371698161592,39592,198,210
11.403327708479269,39591,199,210
11.404992071169316,39590,200,210
11.409054527380153,39589,201,210
11.424653116144096,39588,202,210
11.454124114721004,39588,201,211
11.462819005181542,39588,200,212
11.48432385756699,39587,201,212
11.492708625104768,39587,200,213
11.493933056847347,39587,199,214
11.50332873243961,39587,198,215
11.505972117766946,39586,199,215
11.506518337450268,39585,200,215
11.507793943398825,39584,201,215
11.525247832050946,39583,202,215
11.52599810724338,39582,203,215
11.527516985532424,39581,204,215
11.535475285837716,39580,205,215
11.541886870741086,39579,206,215
11.54257216853645,39578,207,215
11.546206827961615,39577,208,215
11.549358532286423,39577,207,216
11.553812578938539,39576,208,216
11.555543368337561,39576,207,217
11.556722916221686,39575,208,217
11.567299222882461,39574,209,217
11.576280486794264,39574,208,218
11.579120649969866,39573,209,218
11.587039225101746,39572,210,218
11.596788852532466,39571,211,218
11.599279561736564,39570,212,218
11.602242046735626,39569,213,218
11.60373043598889,39568,214,218
11.622139624046307,39567,215,218
11.62913742471502,39567,214,219
11.63425811188573,39567,213,220
11.635938759027304,39566,214,220
11.641944824857356,39566,213,221
11.645021209789373,39565,214,221
11.663334572135657,39564,215,221
11.664916331315421,39563,216,221
11.67192899397144,39562,217,221
11.686899903865088,39561,218,221
11.68879511806465,39560,219,221
11.709192421195581,39559,220,221
11.713844772078644,39559,219,222
11.728475423460113,39558,220,222
11.729012994797875,39557,221,222
11.740974339954096,39556,222,222
11.756007418572015,39555,223,222
11.760775340535918,39554,224,222
11.766772982715178,39553,225,222
11.767467128379723,39553,224,223
11.783840494894779,39552,225,223
11.79898202559894,39552,224,224
11.799801288921971,39551,225,224
11.803835163768087,39550,226,224
11.811420556781586,39549,227,224
11.8138971373248,39549,226,225
11.81780285514943,39548,227,225
11.819111414279702,39547,228,225
11.826560998213251,39547,227,226
11.832749878939929,39546,228,226
11.839649797026231,39545,229,226
11.84654995359818,39544,230,226
11.859968280076526,39543,231,226
11.860627737935648,39543,230,227
11.865250313396734,39542,231,227
11.874591451918185,39542,230,228
11.911587522173287,39541,231,228
11.915918311299437,39540,232,228
11.937199552713043,39540,231,229
