TIME,SUSCEPTIBLE,INFECTED,REMOVED
0.0,9990,10,0
0.0020546757294628306,9989,11,0
0.3032597892088174,9988,12,0
0.44155886286846857,9988,11,1
0.46197851644564675,9988,10,2
0.4780258132692804,9988,9,3
0.6153543102265395,9988,8,4
0.7346268876661406,9987,9,4
0.8722898626262591,9987,8,5
1.0841370610588015,9986,9,5
1.282771836487896,9985,10,5
1.3211392251463898,9984,11,5
1.3283109473678438,9983,12,5
1.346573464992679,9983,11,6
1.4182302603485364,9983,10,7
1.5070452528449847,9982,11,7
1.6667124886552032,9981,12,7
1.8745103473058093,9980,13,7
1.942712354128008,9979,14,7
1.9646547671029815,9978,15,7
1.9818685713145758,9977,16,7
1.9944904021960672,9977,15,8
2.0113969433877013,9976,16,8
2.0800322711180024,9976,15,9
2.154605557938855,9976,14,10
2.206244411070461,9976,13,11
2.2427111107892674,9976,12,12
2.3252229349529685,9976,11,13
2.5640091942288574,9976,10,14
2.710665412717379,9976,9,15
2.744383400688813,9975,10,15
2.7893382107334386,9975,9,16
2.826857355251227,9975,8,17
2.9513731652387967,9975,7,18
3.0170241805091487,9974,8,18
3.0585925904244604,9973,9,18
3.463747986171409,9973,8,19
3.7577103155001126,9972,9,19
3.7801893704012453,9971,10,19
3.8098398711182266,9970,11,19
3.8674250322716235,9969,12,19
3.996187690222667,9969,11,20
4.122904536899741,9968,12,20
4.277997158277832,9967,13,20
4.5078400102429175,9967,12,21
4.920457432100983,9966,13,21
4.977440189668581,9966,12,22
5.006775821090008,9965,13,22
5.193261057161503,9965,12,23
5.285087053413962,9964,13,23
5.5343676779985005,9963,14,23
5.768278241017437,9962,15,23
5.7890066225800885,9961,16,23
6.069525774067886,9961,15,24
6.147076006256205,9960,16,24
6.179134422389644,9959,17,24
6.3379675671748945,9958,18,24
6.431294354234108,9957,19,24
6.468515321474219,9956,20,24
6.703306592181635,9955,21,24
6.7609444949573065,9954,22,24
6.83455985988777,9953,23,24
6.897398098671505,9953,22,25
7.020784237506042,9953,21,26
7.064359093735844,9953,20,27
7.245190942448454,9953,19,28
7.265384733490332,9953,18,29
7.308023050391553,9953,17,30
7.394881911715847,9952,18,30
7.6115756573746065,9952,17,31
7.625539968152376,9951,18,31
7.637228853387193,9951,17,32
7.714674831686176,9951,16,33
7.724113786281829,9951,15,34
7.869753118913979,9950,16,34
7.938570450845194,9949,17,34
