TIME,SUSCEPTIBLE,INFECTED,REMOVED
0.0,3990,10,0
0.22946061534432,3989,11,0
0.3945339617092149,3988,12,0
0.458976816201657,3988,11,1
0.7106648811854321,3987,12,1
0.8732597078218446,3986,13,1
0.9196702645559819,3985,14,1
1.0138513464513588,3984,15,1
1.4155722388154695,3984,14,2
1.4326779793282003,3983,15,2
1.4858018309144199,3983,14,3
1.6634118980228756,3982,15,3
1.8145761295456375,3981,16,3
1.8274933259404507,3980,17,3
2.050918296612026,3979,18,3
2.1241120498420445,3978,19,3
2.1946693512959423,3977,20,3
2.2124324026979507,3976,21,3
2.2188738213664094,3976,20,4
2.275319306446472,3976,19,5
2.3402775957085526,3975,20,5
2.3435902458051703,3975,19,6
2.4101356566186607,3974,20,6
2.4221804899564874,3973,21,6
2.471484923758367,3973,20,7
2.621427162052196,3973,19,8
2.6351274710576162,3972,20,8
2.649449682472481,3972,19,9
2.8861755523552968,3971,20,9
2.897043871245225,3970,21,9
2.9395246277793623,3970,20,10
3.0525410267154833,3969,21,10
3.071684024056475,3968,22,10
3.095880798848402,3968,21,11
3.136690229030102,3968,20,12
3.194822839024408,3967,21,12
3.2031221088897848,3967,20,13
3.262763472681148,3966,21,13
3.396537416904514,3965,22,13
3.4600076832426794,3964,23,13
3.5024130089226295,3963,24,13
3.528631993067758,3962,25,13
3.541946945024203,3961,26,13
3.576335562492056,3961,25,14
3.6368585869799297,3961,24,15
3.6837672875685215,3961,23,16
3.7788936092361936,3960,24,16
3.7977476167468645,3959,25,16
3.844460033313323,3958,26,16
3.890851603312518,3957,27,16
3.9776495871468014,3957,26,17
3.987298773657532,3956,27,17
4.026317324054561,3955,28,17
4.056816468143739,3954,29,17
4.070387741633058,3954,28,18
4.0851205441398255,3953,29,18
4.1370932113017584,3952,30,18
4.181617217754133,3951,31,18
4.321030263564962,3951,30,19
4.349260675191179,3950,31,19
4.377189528665898,3949,32,19
4.380216582356197,3949,31,20
4.4020025005056365,3948,32,20
4.441974326777615,3947,33,20
4.50372654100249,3946,34,20
4.507475220302243,3945,35,20
4.542777982911073,3944,36,20
4.575697886747842,3944,35,21
4.649131925697866,3943,36,21
4.666621453890761,3942,37,21
4.681200827503313,3942,36,22
4.707246378222974,3941,37,22
4.795231349530129,3940,38,22
4.80055140514952,3939,39,22
4.813141367774992,3938,40,22
4.818570325803049,3938,39,23
4.845490212187564,3938,38,24
4.8487214612204275,3938,37,25
4.917623950705336,3938,36,26
4.923307621106327,3937,37,26
4.934406941260341,3936,38,26
4.946340228165829,3935,39,26
4.999850603819927,3934,40,26
5.015156894127808,3934,39,27
5.098802578862944,3933,40,27
5.136062179284199,3933,39,28
5.14941800746133,3932,40,28
5.172950650327125,3931,41,28
5.180833298192509,3930,42,28
5.188535593147422,3929,43,28
5.214678348916419,3929,42,29
5.233538589459593,3928,43,29
5.250535963227075,3927,44,29
5.284989645566748,3926,45,29
5.326529939020609,3926,44,30
5.349962947951811,3926,43,31
5.51258446025685,3926,42,32
5.548666500589553,3925,43,32
5.5643750958827685,3925,42,33
5.594705742194685,3924,43,33
5.616945030679112,3924,42,34
5.676049759130227,3924,41,35
5.707631639841416,3923,42,35
5.762863679425157,3923,41,36
5.776632246963882,3923,40,37
5.818413865265091,3923,39,38
5.845314655765186,3923,38,39
5.852307403254272,3923,37,40
5.868955993998708,3922,38,40
5.91487321712211,3922,37,41
5.993421115357827,3921,38,41
6.056126465437631,3920,39,41
6.088753817363537,3920,38,42
6.126469386632013,3919,39,42
6.132841257693569,3918,40,42
6.17206170248656,3918,39,43
6.1742694972101475,3918,38,44
6.190084364172164,3917,39,44
6.212936339533924,3917,38,45
6.23199647622675,3916,39,45
6.234812269802808,3915,40,45
6.302435124265468,3914,41,45
6.330976908114501,3913,42,45
6.333585640272587,3912,43,45
6.337155096044741,3911,44,45
6.3373536331204585,3910,45,45
6.340584591856238,3910,44,46
6.343137950961586,3910,43,47
6.369270142821969,3910,42,48
6.371181106674965,3909,43,48
6.422474043410465,3909,42,49
6.437756896512964,3909,41,50
6.4481191884896685,3909,40,51
6.537140563162663,3908,41,51
6.539135495121627,3908,40,52
6.5428893898406795,3907,41,52
6.55592250235728,3907,40,53
6.587540242050065,3907,39,54
6.699389370039741,3906,40,54
6.708442908456617,3905,41,54
6.723929738487896,3904,42,54
6.771901741826818,3903,43,54
6.797078179577976,3902,44,54
6.826504887672526,3901,45,54
6.829174453325619,3901,44,55
6.836277983866752,3900,45,55
6.850373826309298,3899,46,55
6.870018607950317,3898,47,55
6.882227671818802,3897,48,55
6.884988438358274,3897,47,56
6.909222288002782,3897,46,57
6.916855088956899,3897,45,58
6.948716632993887,3896,46,58
7.028824092062072,3895,47,58
7.034930013284711,3895,46,59
7.05586989724289,3894,47,59
7.091007669027484,3894,46,60
7.0933972847334825,3894,45,61
7.112643480087332,3893,46,61
7.171044966954178,3892,47,61
7.178932158348044,3891,48,61
7.195357018071173,3890,49,61
7.205428095367903,3889,50,61
7.308088962657217,3888,51,61
7.318353495627176,3887,52,61
7.329492488915112,3887,51,62
7.365672157124645,3886,52,62
7.40059539490617,3885,53,62
7.440520034691577,3885,52,63
7.477850935826452,3885,51,64
7.499165585571887,3884,52,64
7.512268726105288,3883,53,64
7.514984506603922,3883,52,65
7.540179448628983,3883,51,66
7.555474224457167,3882,52,66
7.588097303435293,3881,53,66
7.61527989416039,3880,54,66
7.6195273114340365,3880,53,67
7.638268384644462,3879,54,67
7.651253369938103,3879,53,68
7.709479795507835,3878,54,68
7.724658025156847,3878,53,69
