TIME,SUSCEPTIBLE,INFECTED,REMOVED
0.0,19990,10,0
0.02269110625066476,19989,11,0
0.07602144678913851,19988,12,0
0.11924242632385776,19987,13,0
0.1377014963518869,19986,14,0
0.17345464648716163,19985,15,0
0.2814912783555293,19984,16,0
0.33318051977607716,19983,17,0
0.3440918999873151,19983,16,1
0.3860797580459544,19982,17,1
0.48522394509064354,19981,18,1
0.5320594475014009,19980,19,1
0.5702065474937126,19980,18,2
0.5988478886607559,19979,19,2
0.7064759440683913,19978,20,2
0.7888528486063678,19977,21,2
0.8265655791415963,19977,20,3
0.8950074884512491,19976,21,3
0.9551598373579431,19975,22,3
0.9642612908903125,19974,23,3
1.0457241230480254,19973,24,3
1.0973527130600935,19972,25,3
1.1012654535883464,19971,26,3
1.1621946640550045,19970,27,3
1.2741158544364313,19969,28,3
1.285598516404586,19969,27,4
1.3587173221526216,19969,26,5
1.3632169121327786,19968,27,5
1.4361252127284407,19968,26,6
1.4531326685955706,19967,27,6
1.4701310674519936,19966,28,6
1.5179482656689078,19965,29,6
1.5838127437150096,19964,30,6
1.5909785574595035,19964,29,7
1.6843500101927893,19964,28,8
1.770651678904966,19964,27,9
1.8272035781014735,19964,26,10
1.8389570002950264,19963,27,10
1.9608906426223742,19963,26,11
2.0022502902554633,19962,27,11
2.003491402773149,19961,28,11
2.0111180962077078,19961,27,12
2.1156704371360933,19961,26,13
2.1645978205929675,19960,27,13
2.1713897002561597,19960,26,14
2.1944506185209236,19959,27,14
2.2057569509250645,19958,28,14
2.247429043913717,19957,29,14
2.3429449234612663,19956,30,14
2.3431244356408065,19956,29,15
2.3904147188158125,19956,28,16
2.4090040232137873,19956,27,17
2.501690176921613,19955,28,17
2.5022721717974252,19954,29,17
2.5243752565759174,19954,28,18
2.555892267105728,19953,29,18
2.57852253766275,19952,30,18
2.6049289297158693,19951,31,18
2.6509322084120273,19951,30,19
2.6722021915537977,19951,29,20
2.6956424969337833,19950,30,20
2.7264568404995724,19949,31,20
2.7315050928869926,19948,32,20
2.7525144598253997,19948,31,21
2.822015761561796,19948,30,22
2.835702808094838,19947,31,22
2.86237080166114,19946,32,22
2.900630262616849,19945,33,22
2.91176278620229,19944,34,22
2.9565158198414982,19943,35,22
3.0356166004549934,19943,34,23
3.1618253675134005,19943,33,24
3.188993322050319,19942,34,24
3.214523763353224,19941,35,24
3.3205197407876006,19941,34,25
3.3564589432547995,19940,35,25
3.4336737128570465,19939,36,25
3.519283292727809,19939,35,26
3.5405277892522156,19938,36,26
3.5918838560500883,19937,37,26
3.6227394466539335,19936,38,26
3.6603284842989607,19935,39,26
3.6859748625646103,19935,38,27
3.703787458603867,19934,39,27
3.723598711190012,19933,40,27
3.7236293752337217,19932,41,27
3.783083886920489,19931,42,27
3.7868821154585035,19930,43,27
3.7904737962109043,19930,42,28
3.831255404093202,19929,43,28
3.9610281331138038,19928,44,28
3.962185178527335,19927,45,28
3.989449433314567,19926,46,28
3.9995155275233802,19925,47,28
4.037824556464077,19924,48,28
4.0573357160345225,19924,47,29
4.126992843995177,19923,48,29
4.2097699986048065,19922,49,29
4.2377141747805736,19921,50,29
4.259726926943486,19920,51,29
4.261342341907349,19919,52,29
4.286287348700902,19918,53,29
4.294740838598838,19917,54,29
4.300823577151975,19916,55,29
4.316781139312921,19915,56,29
4.36030453174627,19915,55,30
4.380741102156896,19915,54,31
4.388989797671835,19914,55,31
4.402139514246532,19913,56,31
4.4209326177213635,19912,57,31
4.456043972103631,19912,56,32
4.481461800453888,19911,57,32
4.533208755464162,19911,56,33
4.5349459249046005,19911,55,34
4.573043583172863,19911,54,35
4.573478847734469,19911,53,36
4.615807565130855,19910,54,36
4.652917044763971,19910,53,37
4.660265538621094,19910,52,38
4.671979755749149,19909,53,38
4.6960773738259425,19909,52,39
4.697397708978791,19909,51,40
4.70708061327961,19909,50,41
4.70837202089541,19909,49,42
4.870920377813526,19908,50,42
4.8709655478576845,19908,49,43
4.935380508735562,19908,48,44
4.941997730357849,19908,47,45
5.032038159631154,19907,48,45
5.042594951089754,19906,49,45
5.142583301447624,19905,50,45
5.170795650758728,19904,51,45
5.240564350452093,19903,52,45
5.274656792895574,19902,53,45
5.345275170669605,19901,54,45
5.345967936419429,19901,53,46
5.367455320363416,19900,54,46
5.406455959499412,19900,53,47
