TIME,SUSCEPTIBLE,INFECTED,REMOVED
0.0,5990,10,0
0.012043648692209512,5989,11,0
0.3314072484998695,5989,10,1
0.4326489305240423,5988,11,1
0.5193152522607649,5987,12,1
0.795673499643875,5986,13,1
0.8371927919538854,5986,12,2
0.8709954546497964,5986,11,3
1.339178555545907,5985,12,3
1.3502914420923051,5984,13,3
1.3585835094292187,5983,14,3
1.3653396696071742,5983,13,4
1.5759008907080125,5982,14,4
1.681519474507435,5981,15,4
1.7917575565500885,5981,14,5
1.9287695848262367,5980,15,5
1.9848975754007716,5979,16,5
2.0633690429325062,5978,17,5
2.2518088457150984,5977,18,5
2.2871082271782823,5976,19,5
2.364267024056547,5976,18,6
2.453583734056029,5975,19,6
2.459679707541085,5974,20,6
2.4615679770422396,5973,21,6
2.4633857878746332,5973,20,7
2.5338235533759,5972,21,7
2.586543663954699,5971,22,7
2.609096778662874,5970,23,7
2.633807625875704,5969,24,7
2.667076952831078,5968,25,7
2.7514242171209604,5967,26,7
2.765676487211986,5967,25,8
2.8003626309283565,5966,26,8
2.803309522309824,5965,27,8
2.9051250973135803,5965,26,9
2.9407625435324682,5965,25,10
3.024935437560514,5964,26,10
3.076482445000412,5963,27,10
3.11449480901232,5963,26,11
3.1608545011832727,5962,27,11
3.1881558394180307,5961,28,11
3.1906761658437457,5961,27,12
3.3287781940131347,5960,28,12
3.388219440791844,5959,29,12
3.397706107117684,5958,30,12
3.400495319803256,5958,29,13
3.4715086139855096,5957,30,13
3.4846604542662902,5957,29,14
3.5045738048801445,5956,30,14
3.558855894724906,5955,31,14
3.5630774448679357,5954,32,14
3.604156302525637,5953,33,14
3.609983206577985,5952,34,14
3.6107382814928615,5951,35,14
3.6401175928664844,5951,34,15
3.6734224624100746,5950,35,15
3.7080313468500585,5950,34,16
3.7587185503654887,5949,35,16
3.7767733034512743,5948,36,16
3.7936919307307755,5947,37,16
3.8064794288335793,5946,38,16
3.8076561296588536,5945,39,16
3.8155736379818297,5945,38,17
3.831915034644576,5944,39,17
3.8902820747787663,5943,40,17
3.911155692669205,5942,41,17
3.9199480589743083,5942,40,18
3.9459259489396556,5941,41,18
4.113042270171748,5941,40,19
4.114775968463797,5940,41,19
4.121696196519167,5940,40,20
4.194035416851306,5939,41,20
4.198820683558145,5939,40,21
4.213254293806776,5938,41,21
4.233448406336291,5938,40,22
4.259942458860049,5937,41,22
4.2833447687991315,5936,42,22
4.290691324345884,5936,41,23
4.302401810423891,5935,42,23
4.332864671955386,5934,43,23
4.343823606137723,5934,42,24
4.397110487807325,5934,41,25
4.404011497703171,5933,42,25
4.42568887682341,5932,43,25
4.491805484925209,5932,42,26
4.523310219390844,5931,43,26
4.524662159254682,5931,42,27
4.700103107334193,5931,41,28
4.707640568840175,5930,42,28
4.740916729326482,5929,43,28
4.772625278857188,5928,44,28
4.8455010999226955,5928,43,29
4.870068881811223,5927,44,29
4.998315019872676,5926,45,29
5.030389670330974,5926,44,30
5.14210528433068,5925,45,30
5.2366442018682555,5924,46,30
5.246198965408747,5924,45,31
5.343567350471074,5924,44,32
